Name,WikidataID
Abdur-Raheem,Q116364139
Abdur-Raqeeb,Q116364140
Abdur-Rasheed,Q116364141
Abdurahman,Q3710734
Abdureuf,Q4666246
Abdurrahim,Q21329054
Abdurrahman,Q307378
Abdurrahman,Q109315556
Abdurrahman,Q20000047
Abdus,Q116364143
Abdus Sabur,Q116364144
Abdus Salaam,Q4666312
Abdus Salam,Q4666312
Abdus Samad,Q116364145
Abdus Sami,Q116364146
Abdus Sattar,Q116364147
Abdus Shafi,Q116364148
Abdus Shakur,Q4666328
Abdus Subbooh,Q116364149
Abdus-Sabour,Q116364152
Abdus-Samad,Q116364154
Abdus-Sameei,Q116364155
Abdus-Shaheed,Q116364156
Abdush Shahid,Q116364150
Abdy,Q113628247
Abdy,Q62018092
Abdyl,Q4666345
Abdías,Q1249281
Abdón,Q479647
Abdülhak,Q96097936
Abdülkadir,Q20010079
Abdülkerim,Q317304
Abdülkerim,Q16830272
Abdüllatif,Q106642657
Abdülsamet,Q99959670
Abdürrəhman,Q20000047
Abe,Q2918456
Abeba,Q104622776
Abed,Q20001078
Abednego,Q90810431
Abeedah,Q116365938
Abeer,Q4666490
Abeera,Q116365939
Abeerah,Q116365940
Abeid,Q30089734
Abeille,Q60589149
Abel,Q108920968
Abel,Q318375
Abela,Q21041523
Abelard,Q20679538
Abelard,Q479963
Abelarda,Q104622773
Abelardo,Q1053128
Abele,Q18147130
Abelena,Q318557
Abelia,Q9138181
Abelim,Q56825505
Abelina,Q318574
Abelino,Q110591885
Abelone,Q12300383
Abels,Q93351594
Abeltje,Q112133813
Abelyar,Q18208933
Abelárd,Q479963
Abena,Q63765111
Abeng,Q96652088
Abenzio,Q3603453
Abequa,Q2821557
Abercio,Q104539084
Abercjusz,Q3603460
Abercrombie,Q111048119
Abercromby,Q91171623
Aberdeen,Q9138202
Aberlin,Q111993304
Abert,Q113128295
Aberthol,Q2821581
Abertus,Q21146349
Abet,Q96655961
Abey,Q2821587
Abeytu,Q2821588
Abgar,Q23688139
Abha,Q115000215
Abha,Q47531033
Abhay,Q66498332
Abhi,Q52884515
Abhihita,Q47531208
Abhijeet,Q66744479
Abhijeet,Q4667389
Abhijit,Q94700719
Abhilasha,Q47531205
Abhimanyu,Q97723013
Abhinav,Q4667430
Abhirup,Q115486173
Abhishek,Q16001407
Abhisit,Q113976840
Abhyudita,Q47531209
Abi,Q96655962
Abi,Q96651606
Abi,Q96652439
Abi,Q96652090
Abi,Q81903464
Abia,Q9138234
Abiah,Q113389380
Abiathar,Q48981789
Abid,Q18978262
Abida,Q9138256
"Abidah, Abida",Q116365942
Abidin,Q56598361
Abidine,Q65064047
Abie,Q98651208
Abiel,Q7879759
Abiela,Q9138260
Abiff,Q110858343
Abiga,Q21144087
